date,game_id,home,away
2009-11-15,293190005,UAB,Samford
2009-11-15,293190006,Sacramento State,South Alabama
2009-11-15,293190057,Florida,Stetson
2009-11-15,293190062,Hawai'i,McNeese
2009-11-15,293190066,Iowa State,Chicago State
2009-11-15,293190071,Bradley,Idaho State
2009-11-15,293190108,Harvard,William & Mary
2009-11-15,293190149,Montana,Loyola Marymount
2009-11-15,293190154,East Carolina,Wake Forest
2009-11-15,293190155,North Dakota,Boise State
2009-11-15,293190195,Ohio,Middle Tennessee
2009-11-15,293190202,Tulsa,Florida International
2009-11-15,293190239,Baylor,Hartford
2009-11-15,293190242,Rice,Houston Baptist
2009-11-15,293190251,Texas,UC Irvine
2009-11-15,293190253,Northern Colorado,Southern Utah
2009-11-15,293190259,Virginia Tech,Brown
2009-11-15,293190276,Marshall,North Carolina A&T
2009-11-15,293190295,Old Dominion,Bethune-Cookman
2009-11-15,293190302,UC Davis,Winston Salem
2009-11-15,293190350,UNC Wilmington,George Washington
2009-11-15,293190357,Texas A&M-CC,South Dakota
2009-11-15,293192083,Bryant,Bucknell
2009-11-15,293192084,Buffalo,Vermont
2009-11-15,293192172,Denver,Arkansas-Pine Bluff
2009-11-15,293192294,Iowa,UTSA
2009-11-15,293192306,Kansas State,Western Illinois
2009-11-15,293192378,UMBC,Morgan State
2009-11-15,293192405,Monmouth,Seton Hall
2009-11-15,293192433,UL Monroe,Alcorn State
2009-11-15,293192507,Providence,Mercer
2009-11-15,293192529,Sacred Heart,Lafayette
2009-11-15,293192565,SIU-Edwardsville,Illinois State
2009-11-15,293192724,Wichita State,Fairleigh Dickinson
2009-11-15,293200275,Wisconsin,Purdue Fort Wayne
2009-11-15,293202754,Youngstown St,Hiram
