play_id,half,time_remaining_half,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,naive_win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_favored_by,game_id,date
1,1,20:00,2400,2700,PLAY,0,0,0,22,0.5,0.5,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
2,1,19:38,2378,2678,Rihards Kuksiks made Three Point Jumper.,0,3,-3,55,0.433484240757866,0.433484240757866,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
3,1,18:43,2323,2623,Foul on Jeff Pendergraph,0,3,-3,24,0.43171862249927173,0.43171862249927173,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
4,1,18:19,2299,2599,Ty Abbott missed Two Point Layup.,0,3,-3,0,0.430931600167075,0.430931600167075,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
5,1,18:19,2299,2599,Josh Shipp Block.,0,3,-3,3,0.430931600167075,0.430931600167075,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
6,1,18:16,2296,2596,Derek Glasser Offensive Rebound.,0,3,-3,16,0.4308326017028225,0.4308326017028225,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
7,1,18:00,2280,2580,Darren Collison made Two Point Jumper.,2,3,-1,18,0.47663226359310934,0.47663226359310934,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
8,1,17:42,2262,2562,Jeff Pendergraph made Two Point Jumper.,2,5,-3,37,0.4297019859623669,0.4297019859623669,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
9,1,17:05,2225,2525,Nikola Dragovic missed Three Point Jumper.,2,5,-3,0,0.4284561277235158,0.4284561277235158,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
10,1,17:05,2225,2525,Rihards Kuksiks Defensive Rebound.,2,5,-3,26,0.4284561277235158,0.4284561277235158,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
11,1,16:39,2199,2499,James Harden made Two Point Layup.,2,7,-5,2,0.38077350149876277,0.38077350149876277,UCLA,Arizona State,6,6,NA,290170026,2009-01-17
12,1,16:37,2197,2497,UCLA 30 Second Timeout.,2,7,-5,30,0.38066410369058673,0.38066410369058673,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
13,1,16:07,2167,2467,Jrue Holiday missed Three Point Jumper.,2,7,-5,0,0.3790193711586626,0.3790193711586626,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
14,1,16:07,2167,2467,Alfred Aboya Offensive Rebound.,2,7,-5,6,0.3790193711586626,0.3790193711586626,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
15,1,16:01,2161,2461,Alfred Aboya missed Two Point Layup.,2,7,-5,0,0.3786894198608541,0.3786894198608541,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
16,1,16:01,2161,2461,Jeff Pendergraph Defensive Rebound.,2,7,-5,10,0.3786894198608541,0.3786894198608541,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
17,1,15:51,2151,2451,Jeff Pendergraph made Two Point Dunk Shot.  Assisted by Derek Glasser.,2,9,-7,34,0.3326017841529204,0.3326017841529204,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
18,1,15:17,2117,2417,Jrue Holiday made Two Point Layup.,4,9,-5,12,0.3762519560912016,0.3762519560912016,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
19,1,15:05,2105,2405,Jeff Pendergraph made Two Point Layup.,4,11,-7,15,0.32922660049237945,0.32922660049237945,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
20,1,14:50,2090,2390,Jrue Holiday missed Three Point Jumper.,4,11,-7,0,0.3281165444497145,0.3281165444497145,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
21,1,14:50,2090,2390,James Harden Defensive Rebound.,4,11,-7,13,0.3281165444497145,0.3281165444497145,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
22,1,14:37,2077,2377,Rihards Kuksiks missed Two Point Layup.,4,11,-7,0,0.32715031775195763,0.32715031775195763,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
23,1,14:37,2077,2377,Nikola Dragovic Block.,4,11,-7,2,0.32715031775195763,0.32715031775195763,UCLA,Arizona State,6,5,NA,290170026,2009-01-17
