game_id,away,home,away_rank,home_rank,away_score,home_score,date
401706962,Howard,Kansas,NA,1,57,87,2024-11-04
401719228,UNC Asheville,Alabama,NA,2,54,110,2024-11-04
401706926,Jackson State,Houston,NA,4,40,97,2024-11-04
401706954,Mississippi Valley State,Iowa State,NA,5,44,83,2024-11-04
401706881,Maine,Duke,NA,7,62,96,2024-11-04
401700434,Elon,North Carolina,NA,9,76,90,2024-11-04
401706149,Canisius,Arizona,NA,10,64,93,2024-11-04
401715335,Gardner-Webb,Tennessee,NA,12,64,80,2024-11-04
401715355,Texas A&M,UCF,13,NA,61,64,2024-11-04
401707976,Texas A&M-Corpus Christi,Purdue,NA,14,73,90,2024-11-04
401715476,Stony Brook,Marquette,NA,18,62,102,2024-11-04
401715344,Ohio State,Texas,NA,19,80,72,2024-11-04
401715627,Arkansas-Pine Bluff,Cincinnati,NA,20,54,109,2024-11-04
401714888,South Florida,Florida,NA,21,83,98,2024-11-04
401706148,Rider,UCLA,NA,22,50,85,2024-11-04
401714908,Wright State,Kentucky,NA,23,62,103,2024-11-04
401715317,Long Island University,Ole Miss,NA,24,60,90,2024-11-04
401727499,IU Columbus,IU Indianapolis,NA,NA,44,100,2024-11-04
401726400,Oglethorpe,Middle Tennessee,NA,NA,51,97,2024-11-04
401725796,UNT Dallas,UT Arlington,NA,NA,55,90,2024-11-04
401715872,Charleston,Southern Illinois,NA,NA,90,80,2024-11-04
401726395,LaGrange,Jacksonville State,NA,NA,48,112,2024-11-04
401715873,Saint Louis,Santa Clara,NA,NA,78,85,2024-11-04
401722105,Penn State-York,UMBC,NA,NA,66,95,2024-11-04
401715692,Denver,Stanford,NA,NA,62,85,2024-11-04
401727411,Erskine,Wofford,NA,NA,58,112,2024-11-04
401727277,Old Westbury,Hofstra,NA,NA,62,89,2024-11-04
401722008,Framingham State,Stonehill,NA,NA,62,81,2024-11-04
401721665,Marist,Harvard,NA,NA,66,79,2024-11-04
401718715,Valparaiso,Liberty,NA,NA,63,83,2024-11-04
401722285,Sacred Heart,Temple,NA,NA,70,81,2024-11-04
401727416,Washington College (MD),VMI,NA,NA,54,103,2024-11-04
401726019,Georgian Court,Drexel,NA,NA,43,95,2024-11-04
