game_id,date,opponent,location,team_score,opp_score,record
400587754,2014-11-14,Wake Forest,A,69,80,0-1 (0-0)
400586670,2014-11-16,East Carolina,A,83,79,1-1 (0-0)
400589259,2014-11-19,Johnson & Wales NC,H,87,48,2-1 (0-0)
400589086,2014-11-22,East Tennessee State,A,87,98,2-2 (0-0)
400589274,2014-11-26,South Carolina,A,75,89,2-3 (0-0)
400589281,2014-11-30,Charlotte,H,63,66,2-4 (0-0)
400589297,2014-12-07,Limestone,H,91,66,3-4 (0-0)
400589303,2014-12-11,Tusculum,H,78,40,4-4 (0-0)
400589306,2014-12-14,UAB,A,71,79,4-5 (0-0)
400589311,2014-12-16,Jacksonville State,A,55,64,4-6 (0-0)
400589136,2014-12-21,Western Carolina,H,62,66,4-7 (0-0)
400589338,2014-12-31,Radford,A,62,60,5-7 (1-0)
400589343,2015-01-03,Gardner-Webb,H,80,55,6-7 (2-0)
400589349,2015-01-08,Liberty,H,71,54,7-7 (3-0)
400589360,2015-01-14,Winthrop,H,69,84,7-8 (3-1)
400589364,2015-01-17,Campbell,A,69,65,8-8 (4-1)
400589369,2015-01-19,Charleston Southern,A,75,82,8-9 (4-2)
400589372,2015-01-22,Coastal Carolina,H,75,65,9-9 (5-2)
400589379,2015-01-24,High Point,A,51,72,9-10 (5-3)
400589383,2015-01-28,Longwood,A,74,64,10-10 (6-3)
400589388,2015-01-31,Campbell,H,70,63,11-10 (7-3)
400589393,2015-02-03,Coastal Carolina,A,56,68,11-11 (7-4)
400589401,2015-02-06,Longwood,H,71,56,12-11 (8-4)
400589402,2015-02-09,Gardner-Webb,A,92,89,13-11 (9-4)
400589407,2015-02-12,Presbyterian,H,65,69,13-12 (9-5)
400589416,2015-02-18,Winthrop,A,70,91,13-13 (9-6)
400589421,2015-02-21,Radford,H,68,75,13-14 (9-7)
400589428,2015-02-26,High Point,H,71,75,13-15 (9-8)
400589432,2015-02-28,Liberty,A,95,77,14-15 (10-8)
400765260,2015-03-04,Liberty,N,80,70,15-15 (10-8)
400766094,2015-03-06,Coastal Carolina,N,57,74,15-16 (10-8)
