date,game_id,home,away
2006-02-08,260390041,UConn,Syracuse
2006-02-08,260390057,Florida,South Carolina
2006-02-08,260390077,Northwestern,Iowa
2006-02-08,260390087,Notre Dame,Rutgers
2006-02-08,260390127,Michigan State,Purdue
2006-02-08,260390154,Wake Forest,Boston College
2006-02-08,260390158,Nebraska,Kansas
2006-02-08,260390197,Oklahoma State,Oklahoma
2006-02-08,260390213,Penn State,Minnesota
2006-02-08,260390275,Wisconsin,Indiana
2006-02-08,260392390,Miami,NC State
2006-02-08,260392638,UTEP,UAB
