game_id,away,home,away_rank,home_rank,away_score,home_score,date
401166067,Michigan State,Seton Hall,3,12,76,73,2019-11-14
401169825,Towson,Florida,NA,15,60,66,2019-11-14
401171610,Long Beach State,Saint Mary's,NA,18,63,81,2019-11-14
401170571,San José St,Arizona,NA,19,39,87,2019-11-14
401171630,UC Davis,Idaho,NA,NA,65,64,2019-11-14
401171488,St. Francis (BKN),Longwood,NA,NA,77,86,2019-11-14
401166066,Penn State,Georgetown,NA,NA,81,66,2019-11-14
401175038,Morehead State,Presbyterian,NA,NA,77,55,2019-11-14
401172081,Siena,Harvard,NA,NA,56,59,2019-11-14
401172571,Michigan Dearborn,Eastern Michigan,NA,NA,59,72,2019-11-14
401173535,IU-Kokomo,Evansville,NA,NA,71,89,2019-11-14
401169824,UL Monroe,Mississippi State,NA,NA,45,62,2019-11-14
401169826,Vanderbilt,Richmond,NA,NA,92,93,2019-11-14
401169974,Alabama A&M,Cincinnati,NA,NA,53,85,2019-11-14
401170358,Southern Miss,North Florida,NA,NA,63,66,2019-11-14
401171549,Winthrop,East Tennessee State,NA,NA,58,61,2019-11-14
401174709,Southwest Baptist,Little Rock,NA,NA,59,77,2019-11-14
401184898,Newport News Apprentice,Norfolk State,NA,NA,54,113,2019-11-14
401174708,VMI,Arkansas State,NA,NA,56,71,2019-11-14
401166426,Montana-Western,Idaho State,NA,NA,48,80,2019-11-14
401175741,Southern,New Mexico State,NA,NA,63,79,2019-11-14
401166427,San Diego,Weber State,NA,NA,71,56,2019-11-14
401170572,Central Connecticut,Arizona State,NA,NA,49,90,2019-11-14
401175211,Pacific Union,Pacific,NA,NA,86,48,2019-11-14
