player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Simms,F,41,8,14,1,2,4,5,4,4,8,4,2,2,1,0,21,TRUE,2019-12-31,Miami,H
C. Scott,G,42,5,9,0,3,0,0,1,2,3,2,2,0,2,3,10,TRUE,2019-12-31,Miami,H
T. Mack,G,26,4,11,0,3,0,0,0,4,4,1,0,0,1,2,8,TRUE,2019-12-31,Miami,H
J. Newman III,G,29,3,9,0,2,1,1,1,6,7,2,1,0,2,0,7,TRUE,2019-12-31,Miami,H
C. Trapp,G,35,4,8,3,5,2,3,0,5,5,1,1,0,2,3,13,TRUE,2019-12-31,Miami,H
H. Tyson,F,16,1,4,0,3,1,1,0,3,3,1,0,0,0,0,3,FALSE,2019-12-31,Miami,H
T. Jemison,C,4,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,FALSE,2019-12-31,Miami,H
A. Dawes,G,32,2,7,2,4,0,0,0,1,1,4,1,0,4,4,6,FALSE,2019-12-31,Miami,H
TEAM,NA,NA,27,62,6,22,8,12,10,28,38,15,7,2,13,14,68,FALSE,2019-12-31,Miami,H
