play_id,half,time_remaining_half,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,naive_win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_favored_by,game_id,date
1,1,20:00,2400,2400,PLAY,0,0,0,21,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
2,1,19:39,2379,2379,Ed Waite missed Three Point Jumper.,0,0,0,0,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
3,1,19:39,2379,2379,Pepperdine Defensive Rebound.,0,0,0,20,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
4,1,19:19,2359,2359,Dane Suttle Jr. made Three Point Jumper.  Assisted by Keion Bell.,0,3,-3,19,0.4328808175338899,0.4328808175338899,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
5,1,19:00,2340,2340,Justin Sofman made Three Point Jumper.  Assisted by James Hett.,3,3,0,34,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
6,1,18:26,2306,2306,Dane Suttle Jr. missed Two Point Jumper.,3,3,0,0,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
7,1,18:26,2306,2306,James Hett Block.,3,3,0,3,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
8,1,18:23,2303,2303,James Hett Defensive Rebound.,3,3,0,23,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
9,1,18:00,2280,2280,Justin Sofman made Three Point Jumper.,6,3,3,31,0.5696975480563956,0.5696975480563956,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
10,1,17:29,2249,2249,Foul on Ed Waite,6,3,3,0,0.5707341011149291,0.5707341011149291,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
11,1,17:29,2249,2249,Keion Bell made Free Throw.,6,4,2,0,0.5473323287850554,0.5473323287850554,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
12,1,17:29,2249,2249,Keion Bell missed Free Throw.,6,4,2,0,0.5473323287850554,0.5473323287850554,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
13,1,17:29,2249,2249,Travis Taylor Defensive Rebound.,6,4,2,14,0.5473323287850554,0.5473323287850554,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
14,1,17:15,2235,2235,Travis Taylor missed Two Point Jumper.,6,4,2,0,0.5476503503565374,0.5476503503565374,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
15,1,17:15,2235,2235,Corbin Moore Defensive Rebound.,6,4,2,30,0.5476503503565374,0.5476503503565374,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
16,1,16:45,2205,2205,Joshua Lowery missed Two Point Jumper.,6,4,2,0,0.5483361412138311,0.5483361412138311,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
17,1,16:45,2205,2205,Justin Sofman Defensive Rebound.,6,4,2,19,0.5483361412138311,0.5483361412138311,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
18,1,16:26,2186,2186,Justin Sofman missed Three Point Jumper.,6,4,2,0,0.548773006408573,0.548773006408573,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
19,1,16:26,2186,2186,Keion Bell Defensive Rebound.,6,4,2,14,0.548773006408573,0.548773006408573,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
20,1,16:12,2172,2172,Foul on Ed Waite,6,4,2,0,0.5490959085697926,0.5490959085697926,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
21,1,16:12,2172,2172,Taylor Darby made Free Throw.,6,5,1,0,0.5246074118573106,0.5246074118573106,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
22,1,16:12,2172,2172,Taylor Darby made Free Throw.,6,6,0,32,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
23,1,15:40,2140,2140,James Hett Turnover.,6,6,0,1,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
24,1,15:39,2139,2139,Taylor Darby Steal.,6,6,0,7,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
25,1,15:32,2132,2132,Lorne Jackson missed Three Point Jumper.,6,6,0,0,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
26,1,15:32,2132,2132,Dutch Gaitley Defensive Rebound.,6,6,0,9,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
27,1,15:23,2123,2123,James Hett Turnover.,6,6,0,2,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
28,1,15:21,2121,2121,Lorne Jackson Steal.,6,6,0,3,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
29,1,15:18,2118,2118,Foul on Dutch Gaitley,6,6,0,0,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
30,1,15:18,2118,2118,Official TV Timeout.,6,6,0,0,0.5,0.5,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
31,1,15:18,2118,2118,Keion Bell made Free Throw.,6,7,-1,0,0.47475898160724683,0.47475898160724683,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
32,1,15:18,2118,2118,Keion Bell made Free Throw.,6,8,-2,31,0.4496462864327961,0.4496462864327961,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
33,1,14:47,2087,2087,Whitney Coleman missed Two Point Jumper.,6,8,-2,0,0.44891275375982187,0.44891275375982187,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
34,1,14:47,2087,2087,Travis Taylor Offensive Rebound.,6,8,-2,5,0.44891275375982187,0.44891275375982187,Monmouth,Pepperdine,6,6,NA,293322492,2009-11-28
