number,name,position,height,weight,class,hometown
0,Montae Glenn,F,"6' 8""",230 lbs,SR,"Carrollton, GA"
1,David Viti,G/F,"6' 5""",205 lbs,FR,"Buford, GA"
2,Elijah McCadden,G,"6' 4""",192 lbs,FR,"Rocky Mount, NC"
3,Ike Smith,G,"6' 4""",210 lbs,SR,"Gainesville, FL"
4,Tookie Brown,G,"5' 11""",180 lbs,SR,"Madison, GA"
5,Trey Dawkins,F/C,"6' 8""",200 lbs,JR,"Forest City, NC"
10,Calvin Wishart,G,"6' 1""",180 lbs,FR,"Delano, MN"
13,Quan Jackson,G,"6' 4""",180 lbs,SO,"Tallahassee, FL"
14,Will Dillard,G,"6' 2""",190 lbs,FR,"Greensboro, NC"
21,Eito Yuminami,G,"5' 6""",140 lbs,FR,"Mooresville, NC"
23,Simeon Carter,F,"6' 8""",215 lbs,JR,"Charlotte, NC"
24,David-Lee Jones Jr.,G,"6' 0""",175 lbs,JR,"Tampa, FL"
30,Daniel Cooper,G,"6' 3""",192 lbs,FR,"Statesboro, GA"
35,Tyshaun Crawford,C,"7' 1""",270 lbs,FR,"Griffin, GA"
53,Isaiah Crawley,F,"6' 7""",210 lbs,JR,"Ripley, TN"
