number,name,position,height,weight,class,hometown
0,Brian Warren,G,"5' 9""",160 lbs,JR,"Indianapolis, IN"
2,DJ Bryant,G,"5' 11""",185 lbs,JR,"Sarasota, FL"
3,Ayoub Nouhi,F,"6' 5""",196 lbs,FR,"Brussels, Belgium"
4,David Azore,G,"6' 4""",205 lbs,FR,"Houston, TX"
4,Davion Turner,F,"6' 9""",200 lbs,SR,"Cedar Hill, TX"
5,Edric Dennis,G,"6' 0""",190 lbs,JR,"Dallas, TX"
10,Radshad Davis,G,"6' 2""",205 lbs,JR,"Nassau, Bahamas"
11,Ike Durham,G,"5' 9""",162 lbs,JR,"DeSoto, TX"
13,Jabari Narcis,F,"6' 9""",230 lbs,JR,"Chaguanas, Trinidad & Tobago"
15,Scott Muirhead,G,"6' 3""",206 lbs,JR,"Ennis, TX"
20,Andres Ibarguen,F,"6' 5""",230 lbs,JR,"Santa Marta, Colombia"
21,Pedro Castro,G,"6' 6""",185 lbs,FR,"Fort Worth, TX"
22,Tiandre Jackson-Young,G,"6' 3""",195 lbs,JR,"Marshall, TX"
23,Patrick Mwamba,F,"6' 5""",188 lbs,FR,"Bukava, Congo"
30,Patrick Binzer,G,"6' 1""",180 lbs,JR,"Weatherford, TX"
33,McKade Marquis,G,"6' 0""",215 lbs,FR,"Whitehouse, TX"
