number,name,position,height,weight,class,hometown
0,Trey Doomes,G,"6' 3""",175 lbs,FR,"Acworth, GA"
1,Derek Culver,F,"6' 10""",255 lbs,FR,"Youngstown, OH"
2,Brandon Knapper,G,"6' 0""",180 lbs,FR,"South Charleston, WV"
3,James Bolden,G,"6' 0""",175 lbs,JR,"Covington, KY"
5,Jordan McCabe,G,"6' 0""",183 lbs,FR,"Kaukauna, WI"
10,Jermaine Haley,G,"6' 7""",215 lbs,JR,"Vancouver, BC"
11,Emmitt Matthews Jr.,F,"6' 7""",195 lbs,FR,"Tacoma, WA"
12,Andrew Gordon,F,"6' 9""",255 lbs,SO,"Clearwater, FL"
14,Chase Harler,G,"6' 3""",210 lbs,JR,"Moundsville, WV"
15,Lamont West,F,"6' 8""",222 lbs,JR,"Cincinnati, OH"
20,Taevon Horton,G,"6' 1""",190 lbs,FR,"Fairmont, WV"
21,Wesley Harris,F,"6' 8""",200 lbs,JR,"Jackson, MS"
23,Esa Ahmad,F,"6' 8""",225 lbs,SR,"Cleveland, OH"
31,Logan Routt,F,"6' 11""",260 lbs,JR,"Cameron, WV"
50,Sagaba Konate,F,"6' 8""",250 lbs,JR,"Bamako, Mali"
