number,name,position,height,weight,class,hometown
0,Dwain Whitfield,F,"6' 6""",205 lbs,SR,"Forrest City, AR"
1,Charles Jackson,G/F,"6' 5""",210 lbs,SR,"Cleveland, MS"
2,Marquell Carter,F,"6' 6""",195 lbs,JR,"Greensville, MS"
3,Zavian Jackson,G,"6' 3""",170 lbs,JR,"Burlington, NC"
4,Jordan McNair,G,"5' 8""",160 lbs,JR,"Jacksonville, AR"
5,Anthony Davis Jr.,G,"5' 9""",165 lbs,SO,"Shaw, MS"
10,Quamauri Hardy,G,"6' 3""",180 lbs,SR,"Hoover, AL"
12,Terrance Banyard,F,"6' 8""",215 lbs,SO,"Milwaukee, WI"
13,Trevor Banks,C,"6' 8""",220 lbs,JR,"Milwaukee, WI"
14,Marcus Wallace,G,"6' 1""",180 lbs,SR,"Jackson, MS"
21,Shaun Doss,F,"6' 5""",185 lbs,SO,"Marion, AR"
22,Khalid Campbell,G,"6' 1""",175 lbs,JR,"Greenwood, MS"
23,Martaveous McKnight,G,"6' 4""",190 lbs,SR,"Walls, MS"
24,Artavious McDyess,F/C,"6' 10""",220 lbs,JR,"Columbus, MS"
25,Christian Robertson,F,"6' 4""",195 lbs,SR,"Monticello, AR"
30,Cameron Posey,G,"6' 2""",180 lbs,SO,"Milwaukee, WI"
33,Isaac Bassey,C,"6' 11""",250 lbs,JR,"Fallston, MD"
34,Chris Smith,F,"6' 8""",225 lbs,SR,"Memphis, TN"
40,J'Breun Sprinkle,G,"6' 2""",175 lbs,JR,"White Hall, AR"
44,William Ridgell,G,"6' 1""",173 lbs,SO,"White Hall, AR"
