number,name,position,height,weight,class,hometown
0,Zachary Barnes,G,"6' 1""",180 lbs,JR,"Jackson, MS"
1,Dante Scott,F,"6' 4""",220 lbs,SR,"Miami, FL"
2,Torico Simmons,G,"5' 8""",160 lbs,JR,"Americus, GA"
3,Jordan Evans,G,"6' 2""",165 lbs,SR,"Waco, TX"
5,Tereke Eckwood,G,"6' 2""",175 lbs,SR,"Fayetteville, AR"
10,Emmanuel Ejeh,C,"6' 8""",220 lbs,SR,"Abuja, Nigeria"
11,Marcus Mitchell,F,"6' 7""",225 lbs,JR,"Memphis, TN"
12,Lorenzo Hunt,F,"6' 4""",186 lbs,JR,"Memphis, TN"
13,Marcus Roberts,F,"6' 6""",195 lbs,SR,"Jackson, MS"
15,Michael Green,G,"6' 3""",175 lbs,JR,"Conyers, GA"
20,Fritz Lucien,F,"6' 7""",190 lbs,JR,"Montreal, PQ"
21,Patrick Rucker,G,"6' 0""",165 lbs,FR,"Chicago, IL"
23,LaCurtis Allen,F,"6' 4""",185 lbs,SR,"Duck Hill, MS"
24,Gregory Holloway,G,"6' 5""",185 lbs,FR,"Macon, GA"
25,Gregory Jones-Rollins,G,"6' 2""",190 lbs,SR,"Galveston, TX"
32,Kaleb Allison,C,"6' 7""",275 lbs,SO,"Greenville, MS"
33,Aleksa Koracin,C,"7' 0""",280 lbs,FR,"Belgrade, Serbia"
