number,name,position,height,weight,class,hometown
0,Sekou Toure,G,"6' 5""",185 lbs,FR,"Conarky, Guinea"
1,Ar'mond Davis,G,"6' 6""",190 lbs,SR,"Tacoma, WA"
2,Jarriesse Blackmon,F,"6' 7""",220 lbs,SR,"Layton, UT"
3,Jaquori McLaughlin,G,"6' 4""",190 lbs,SO,"Tacoma, WA"
4,Devearl Ramsey,G,"6' 0""",185 lbs,SO,"Los Angeles, CA"
5,Jay Nagle,F,"6' 8""",205 lbs,FR,"Vacaville, CA"
10,Maxwell Kupchak,F,"6' 7""",205 lbs,SR,"Los Angeles, CA"
12,Amadou Sow,F,"6' 9""",235 lbs,FR,"Bamako, Mali"
13,Scotty Harris,G,"6' 5""",190 lbs,JR,"Portola Valley, CA"
14,Ami Lakoju,F,"6' 9""",260 lbs,SR,"Harlem, NY"
15,Mobeen Hirbod,G,"6' 1""",175 lbs,FR,"Danville, CA"
21,Max Heidegger,G,"6' 3""",180 lbs,JR,"Malibu, CA"
23,Christian Terrell,G,"6' 5""",200 lbs,JR,"Sacramento, CA"
34,Zack Moore,G,"6' 5""",210 lbs,JR,"Bellevue, WA"
35,Robinson Idehen,F,"6' 10""",230 lbs,SO,"Tudela Navarra, Spain"
40,Andrew Pickles,F,"6' 7""",225 lbs,JR,"Seattle, WA"
NA,Brandon Cyrus,G,"6' 5""",190 lbs,JR,"Oakville, ON"
