number,name,position,height,weight,class,hometown
3,Tyrone Perry,G,"6' 1""",160 lbs,FR,"Apopka, FL"
4,Jay Vaughan,G,"6' 0""",166 lbs,FR,"Allentown, PA"
5,Isaac Suffren,G,"6' 4""",184 lbs,FR,"Charlotte, NC"
11,Justin Jaworski,G,"6' 1""",191 lbs,SO,"Schwenksville, PA"
12,Auston Evans,G,"6' 5""",191 lbs,SR,"McKinney, TX"
13,Sean Good,F,"6' 10""",200 lbs,FR,"Camp Hill, PA"
14,Cal Reichwein,G,"6' 3""",208 lbs,JR,"Doylestown, PA"
20,E.J. Stephens,G,"6' 3""",170 lbs,SO,"Plantation, FL"
21,Alex Petrie,G,"6' 3""",194 lbs,SO,"Midlothian, VA"
23,Lukas Jarrett,F,"6' 7""",205 lbs,JR,"Northport, NY"
24,Kyle Stout,G,"6' 6""",194 lbs,JR,"Schnecksville, PA"
32,Michael Anekwe,F,"6' 6""",209 lbs,FR,"Lagos, Nigeria"
33,Paulius Zalys,F,"6' 7""",209 lbs,SR,"Kaunas, Lithuania"
44,Dylan Hastings,F,"6' 8""",210 lbs,SO,"Quarryville, PA"
54,Myles Cherry,F,"6' 8""",234 lbs,JR,"Newcastle, Australia"
