number,name,position,height,weight,class,hometown
0,Kris Wooten,G,"6' 3""",190 lbs,FR,"Kinston, NC"
1,Chuck Hannah,F,"6' 6""",230 lbs,FR,"Boston, MA"
3,Seth Fuller,G,"5' 11""",180 lbs,SO,"Dublin, OH"
5,Federico Poser,F,"6' 8""",230 lbs,FR,"Mareno di Piave, Italy"
10,Karolis Kundrotas,F/C,"6' 11""",240 lbs,SR,"Kaunas, Lithuania"
11,Maxwell Chester,G,"6' 1""",190 lbs,JR,"Atlanta, GA"
12,Nathan Priddy,G,"6' 2""",185 lbs,SO,"Argyle, TX"
13,Dainan Swoope,G,"6' 0""",185 lbs,SR,"Overland Park, KS"
15,Christian Scott,G,"6' 1""",170 lbs,SO,"New Orleans, LA"
20,Sheldon Eberhardt,G,"6' 5""",190 lbs,SR,"Apex, NC"
21,Andy Pack,G,"6' 4""",200 lbs,FR,"Summerfield, NC"
22,Steven Santa Ana,G,"6' 4""",190 lbs,SR,"Charlotte, NC"
30,John Stubbs,G,"6' 4""",190 lbs,FR,"Houston, TX"
33,Simon Wright,F,"6' 7""",215 lbs,SO,"Minneapolis, MN"
41,Tyler Seibring,F,"6' 9""",225 lbs,SR,"Normal, IL"
42,Duje Radja,F/C,"6' 8""",235 lbs,SO,"Split, Croatia"
