number,name,position,height,weight,class,hometown
0,Tyrique Jones,F,"6' 9""",235 lbs,JR,"Bloomfield, VT"
1,Paul Scruggs,G,"6' 3""",200 lbs,SO,"Indianapolis, IN"
2,Kyle Castlin,G,"6' 4""",193 lbs,SR,"Marietta, GA"
3,Quentin Goodin,G,"6' 4""",194 lbs,JR,"Campbellsville, KY"
4,Elias Harden,G,"6' 5""",187 lbs,SO,"East Point, GA"
10,Leighton Schrand,G,"6' 1""",170 lbs,JR,"Villa Hills, KY"
11,Keonte Kennedy,G,"6' 5""",187 lbs,FR,"Aurora, CO"
12,Dontarius James,F,"6' 7""",210 lbs,FR,"Kershaw, SC"
13,Naji Marshall,F,"6' 7""",222 lbs,SO,"Atlantic City, NJ"
14,Nick Vanderpohl,G,"6' 1""",180 lbs,SO,"Harrison, OH"
20,Ramon Singh,G,"6' 4""",170 lbs,FR,"Sydney, Australia"
21,Zak Swetye,G,"6' 1""",170 lbs,FR,"Darien, CT"
22,A.J. Frazier,F,"6' 3""",214 lbs,FR,"Tucker, GA"
32,Ryan Welage,F,"6' 10""",205 lbs,SR,"Greensburg, IN"
34,Myles Hanson,G/F,"6' 7""",215 lbs,SO,"Chaska, MN"
35,Zach Hankins,F,"6' 11""",245 lbs,SR,"Charlevoix, MI"
