number,name,position,height,weight,class,hometown
0,Lavar Harewood,G/F,"6' 3""",195 lbs,JR,"Brooklyn, NY"
1,Aramani Hill,F,"6' 7""",NA,SO,"Rock Hill, SC"
2,Fahmmi Mamo,G,"6' 6""",NA,FR,"Alexandria, VA"
3,Rayshawn Neal,G,"5' 10""",185 lbs,SO,"Greenville, SC"
4,Dwayne Banks,G,"5' 10""",180 lbs,JR,"Baltimore, MD"
5,Ozante Fields,F,"6' 7""",220 lbs,JR,"Denmark, SC"
10,Allen Hatchett Jr.,G,"6' 4""",NA,FR,"Memphis, TN"
11,Janai Raynor-Powell,G,"5' 10""",165 lbs,SR,"Virginia Beach, VA"
12,Savion Dawkins,G,"6' 4""",NA,FR,"York, SC"
13,Donte Wright,G,"5' 10""",190 lbs,SR,"Jackson, SC"
14,Jahmari Etienne,G,"6' 3""",NA,JR,"Atlanta, GA"
20,Robert Flint,G,"6' 2""",NA,JR,"Greenville, SC"
21,David Bottenberg,F,"6' 8""",220 lbs,JR,"Rockville, MD"
22,Fred Slater,G,"6' 4""",NA,SO,"Centreville, VA"
24,Ian Kinard,F,"6' 8""",210 lbs,JR,"Clinton, SC"
33,Alex Taylor,F,"6' 9""",305 lbs,SO,"Moncks Corner, SC"
35,Damni Applewhite,F,"6' 8""",200 lbs,JR,"Fayetteville, NC"
