number,name,position,height,weight,class,hometown
1,Larry Bastfield,G,"5' 11""",NA,SR,NA
2,Jeremy Canty,G,"6' 2""",NA,FR,NA
3,Derrick Banks,,"5' 11""",NA,SO,NA
5,Justin Black,G,"6' 2""",NA,SO,NA
12,Aric Brooks,F,"6' 6""",NA,SR,NA
22,Blake Bozeman,G,"6' 2""",NA,FR,NA
23,James Hamilton,G,"6' 5""",NA,FR,NA
32,DeWayne Jackson,F,"6' 8""",NA,JR,NA
33,Kevin Thompson,F,"6' 9""",NA,SR,NA
34,Ameer Ali,F,"6' 4""",NA,SR,NA
42,Thair Heath,F,"6' 9""",NA,SR,NA
44,Shaquille Duncan,F,"6' 9""",NA,FR,NA
50,Ian Childs,C,"7' 2""",NA,SO,NA
