number,name,position,height,weight,class,hometown
0,Alec Williams,F,"6' 6""",NA,JR,NA
2,Xavier Thames,G,"6' 3""",NA,SO,NA
3,LaBradford Franklin,G,"6' 2""",NA,SO,NA
5,Garrett Green,F,"6' 11""",NA,SR,NA
10,Tim Shelton,F,"6' 7""",NA,SR,NA
11,James Rahon,G,"6' 5""",NA,JR,NA
21,Jamaal Franklin,G,"6' 5""",NA,SO,NA
22,Chase Tapley,G,"6' 2""",NA,JR,NA
23,Deshawn Stephens,F,"6' 8""",NA,JR,NA
24,Ryan Staten,,"6' 2""",NA,FR,NA
33,Jeremy Castleberry,,"5' 10""",NA,SO,NA
40,Narbeh Ebrahimian,,"6' 3""",NA,JR,NA
40,Aaron Douglas,,"6' 1""",NA,JR,NA
