number,name,position,height,weight,class,hometown
1,Art Steward,F,"6' 4""",NA,SR,NA
2,Kevin Henderson,F,"6' 5""",NA,FR,NA
5,Will Cherry,G,"6' 1""",NA,JR,NA
10,Jordan Gregory,G,"6' 2""",NA,FR,NA
12,Jordan Wood,G,"6' 3""",NA,SR,NA
20,Keron DeShields,G,"6' 2""",NA,FR,NA
22,Shawn Stockton,G,"6' 1""",NA,SR,NA
24,Derek Selvig,F,"7' 0""",NA,SR,NA
32,Kareem Jamar,F,"6' 5""",NA,SO,NA
33,Mike Weisner,F,"6' 7""",NA,FR,NA
40,Mathias Ward,F,"6' 7""",NA,JR,NA
45,Eric Hutchison,F,"6' 9""",NA,SO,NA
50,Billy Reader,F,"6' 9""",NA,FR,NA
