number,name,position,height,weight,class,hometown
1,Zaid Hearst,G,"6' 4""",NA,FR,NA
2,Dave Johnson,G,"5' 10""",NA,JR,NA
3,James Johnson,G,"6' 0""",NA,SR,NA
4,Ike Azotam,F,"6' 7""",NA,SO,NA
5,Nate Gause,G,"6' 3""",NA,FR,NA
10,Garvey Young,G,"6' 5""",NA,SR,NA
12,Marquis Barnett,F,"6' 8""",NA,FR,NA
13,Austin Alecxih,G,"6' 6""",NA,SO,NA
15,Alex Jackson,F,"6' 5""",NA,SO,NA
21,Evan Conti,G,"6' 3""",NA,FR,NA
22,Justin Harris,F,"6' 8""",NA,FR,NA
23,Ousmane Drame,F,"6' 9""",NA,FR,NA
24,Terrance Bobb-Jones,G,"6' 4""",NA,FR,NA
25,T'Ziah Wood-Smith,G,"6' 4""",NA,FR,NA
33,Kevin Tarca,G,"5' 10""",NA,SR,NA
35,Jamee Jackson,F,"6' 7""",NA,JR,NA
