number,name,position,height,weight,class,hometown
1,Austin Morgan,G,"5' 11""",NA,JR,NA
3,Will Bartlett,F,"6' 6""",NA,SO,NA
5,Michael Grace,G,"6' 0""",NA,JR,NA
10,Brian Katz,G,"6' 4""",NA,SR,NA
11,Jesse Pritchard,G,"6' 5""",NA,SO,NA
12,Armani Cotton,G,"6' 7""",NA,FR,NA
15,Rhett Anderson,F,"6' 8""",NA,SR,NA
20,Javier Duren,G,"6' 4""",NA,FR,NA
22,Reggie Willhite,F,"6' 4""",NA,SR,NA
23,Isaiah Salafia,G,"6' 3""",NA,SO,NA
25,Sam Martin,G,"6' 3""",NA,JR,NA
32,Greg Kelley,F,"6' 8""",NA,SO,NA
34,Will Childs-Klein,C,"6' 11""",NA,FR,NA
35,Brandon Sherrod,F,"6' 6""",NA,FR,NA
42,Matt Townsend,F,"6' 7""",NA,FR,NA
44,Greg Mangano,F,"6' 10""",NA,SR,NA
50,Jeremiah Kreisberg,F,"6' 10""",NA,SO,NA
