number,name,position,height,weight,class,hometown
1,Shane Porchea,G,"6' 5""",NA,SO,NA
5,Ty Greene,G,"6' 2""",NA,FR,NA
12,Ricardo Glenn,F,"6' 8""",NA,SO,NA
13,Fred Miller,G,"6' 4""",NA,FR,NA
15,Adrian Rodgers,G,"6' 4""",NA,FR,NA
22,Bruce Haynes,G,"6' 2""",NA,FR,NA
23,Torrey Craig,F,"6' 6""",NA,SO,NA
24,Jodd Maxey,F,"6' 8""",NA,SO,NA
30,Rob Elam,F,"6' 6""",NA,JR,NA
31,Mario Blessing,G,"6' 2""",NA,FR,NA
32,Chalmers Rogers,F,"6' 7""",NA,SR,NA
33,Carter Cook,G,"6' 5""",NA,SR,NA
34,Babatunde Olumuyiwa,F,"6' 8""",NA,SO,NA
