number,name,position,height,weight,class,hometown
1,Joshua Clyburn,F,"6' 8""",NA,SO,NA
2,Tyler Deihl,G,"5' 11""",NA,SO,NA
3,Pierre Miller,G,"5' 10""",NA,SR,NA
4,Russell McCray,G,"5' 11""",NA,FR,NA
5,Ryan Hargrave,F,"6' 6""",NA,JR,NA
11,Josh Johnson,G,"6' 3""",NA,SR,NA
13,William Truss,C,"6' 7""",NA,FR,NA
20,Ryan McTavish,G,"6' 5""",NA,FR,NA
24,Khalid Mutakabbir,G,"6' 4""",NA,JR,NA
31,Mac Lake,F,"6' 3""",NA,FR,NA
33,Eric Washington,G,"5' 10""",NA,FR,NA
34,Al'lonzo Coleman,C,"6' 8""",NA,SR,NA
44,Jay Reynolds,F,"6' 10""",NA,JR,NA
