number,name,position,height,weight,class,hometown
0,Kory Barnett,F,"6' 5""",NA,SR,NA
1,Jordan Hulls,G,"6' 0""",NA,JR,NA
2,Christian Watford,F,"6' 9""",NA,JR,NA
4,Victor Oladipo,G,"6' 5""",NA,SO,NA
10,Will Sheehey,G,"6' 6""",NA,SO,NA
11,Daniel Moore,G,"5' 10""",NA,SR,NA
12,Verdell Jones III,G,"6' 4""",NA,SR,NA
13,Austin Etherington,F,"6' 6""",NA,FR,NA
15,Raphael Smith,G,"6' 3""",NA,FR,NA
20,Taylor Wayer,G,"5' 10""",NA,SO,NA
23,Remy Abell,G,"6' 3""",NA,FR,NA
24,Jeff Howard,F,"6' 8""",NA,SO,NA
25,Tom Pritchard,F,"6' 8""",NA,SR,NA
30,Matt Roth,G,"6' 3""",NA,SR,NA
32,Derek Elston,F,"6' 9""",NA,JR,NA
40,Cody Zeller,F,"6' 11""",NA,FR,NA
