number,name,position,height,weight,class,hometown
1,Joe Ragland,G,"6' 0""",NA,SR,NA
3,Evan Wessel,G,"6' 5""",NA,FR,NA
4,James Anacreon,F,"6' 7""",NA,JR,NA
5,Demetric Williams,G,"6' 2""",NA,JR,NA
15,Randall Vautravers,F,"6' 6""",NA,FR,NA
20,Ben Smith,F,"6' 5""",NA,SR,NA
21,Ehimen Orukpe,C,"7' 0""",NA,JR,NA
22,Carl Hall,F,"6' 8""",NA,JR,NA
23,Toure' Murry,G,"6' 5""",NA,SR,NA
24,David Kyles,G,"6' 4""",NA,SR,NA
32,Tekele Cotton,G,"6' 2""",NA,FR,NA
41,Garrett Stutz,C,"7' 0""",NA,SR,NA
50,Jake White,F,"6' 8""",NA,FR,NA
