number,name,position,height,weight,class,hometown
1,Avery Moore,G,"5' 10""",NA,SO,NA
2,Chris Watson,,"6' 2""",NA,SR,NA
4,Jeffrey Kennings,G,"5' 10""",NA,JR,NA
5,Treshawn Hagood,G,"6' 1""",NA,FR,NA
11,Isaac Brown,G,"6' 3""",NA,SR,NA
12,Reggie Lewis,G,"6' 2""",NA,SO,NA
15,D'Andre Bullard,G,"6' 3""",NA,FR,NA
20,Brandon Hosely,G,"5' 10""",NA,SR,NA
21,Markee Teal,F,"6' 7""",NA,JR,NA
22,Amin Stevens,F,"6' 6""",NA,JR,NA
24,Jeffrey Neal,F,"6' 6""",NA,SR,NA
25,Jeremy Dean,F,"6' 6""",NA,SR,NA
32,Vaughn Rose,F,"6' 5""",NA,SO,NA
33,Nathaniel Drayton,F,"6' 7""",NA,JR,NA
42,Yannick Crowder,F,"6' 8""",NA,SR,NA
