number,name,position,height,weight,class,hometown
0,Jordan Baker,G,"6' 2""",NA,SO,NA
1,Aaron Bacote,G,"6' 5""",NA,JR,NA
2,Martin Shaw,G,"5' 11""",NA,JR,NA
3,Keenan Palmore,G,"6' 1""",NA,JR,NA
10,Javonte Douglas,F,"6' 7""",NA,JR,NA
11,Joe Ebondo,F,"6' 8""",NA,SR,NA
15,Deion Clark,G,"6' 3""",NA,SO,NA
20,Trey Freeman,G,"6' 2""",NA,JR,NA
21,Denzell Taylor,F,"6' 6""",NA,SO,NA
22,Ambrose Mosley,G,"6' 1""",NA,SO,NA
23,Richard Ross,F,"6' 7""",NA,SR,NA
24,Zoran Talley,F,"6' 7""",NA,FR,NA
25,Brandan Stith,F,"6' 7""",NA,SO,NA
30,Nik Biberaj,F,"6' 8""",NA,JR,NA
35,Jonathan Arledge,C,"6' 9""",NA,SR,NA
