number,name,position,height,weight,class,hometown
0,James Robinson,G,"6' 3""",NA,JR,NA
1,Jamel Artis,F,"6' 7""",NA,SO,NA
2,Michael Young,F,"6' 9""",NA,SO,NA
3,Cameron Wright,G,"6' 5""",NA,SR,NA
4,Ryan Luther,F,"6' 9""",NA,FR,NA
5,Durand Johnson,F,"6' 6""",NA,JR,NA
11,Derrick Randall,F,"6' 9""",NA,SR,NA
12,Chris Jones,F,"6' 6""",NA,SO,NA
13,Josh Newkirk,G,"6' 1""",NA,SO,NA
15,Aron Phillips-Nwankwo,F,"6' 7""",NA,SR,NA
21,Sheldon Jeter,F,"6' 8""",NA,SO,NA
22,Joshua Ko,G,"6' 1""",NA,SO,NA
23,Cameron Johnson,G,"6' 7""",NA,FR,NA
24,Mike Lecak,G,"6' 2""",NA,JR,NA
50,Joseph Uchebo,C,"6' 10""",NA,JR,NA
