number,name,position,height,weight,class,hometown
1,Lionel Gomis,F,"6' 9""",NA,JR,NA
2,Marcquise Reed,G,"6' 3""",NA,FR,NA
3,Kavon Stewart,G,"6' 0""",NA,SO,NA
4,David Appolon,G,"6' 4""",NA,SR,NA
5,Elijah Minnie,F,"6' 8""",NA,FR,NA
10,Ryan Sovranko,F,"6' 7""",NA,FR,NA
11,Rodney Pryor,G,"6' 5""",NA,JR,NA
12,Charles Oliver,G,"6' 3""",NA,SR,NA
15,Jafar Kinsey,G,"6' 2""",NA,FR,NA
22,Lucky Jones,F,"6' 6""",NA,SR,NA
24,Aaron Tate,F,"6' 5""",NA,JR,NA
25,Conrad Stephens,,"6' 4""",NA,SO,NA
33,Andre Frederick,F,"6' 8""",NA,FR,NA
45,Stephan Bennett,F,"6' 9""",NA,JR,NA
