number,name,position,height,weight,class,hometown
0,Abdul-Malik Abu,F,"6' 8""",NA,FR,NA
1,Trevor Lacey,G,"6' 3""",NA,JR,NA
3,Terry Henderson,G,"6' 4""",NA,JR,NA
4,Chris Brickhouse,F,"6' 5""",NA,SO,NA
5,Desmond Lee,G,"6' 4""",NA,SR,NA
10,Lennard Freeman,F,"6' 8""",NA,SO,NA
12,Anthony 'Cat' Barber,G,"6' 2""",NA,SO,NA
13,"Chris Corchiani, Jr.",G,"6' 0""",NA,FR,NA
14,Caleb Martin,F,"6' 6""",NA,FR,NA
15,Cody Martin,F,"6' 6""",NA,FR,NA
20,Patrick Wallace,G,"6' 1""",NA,SO,NA
21,Beejay Anya,F,"6' 9""",NA,SO,NA
22,Ralston Turner,G,"6' 5""",NA,SR,NA
25,Chase Cannon,G,"6' 4""",NA,JR,NA
30,Staats Battle,G,"6' 6""",NA,SR,NA
32,Kyle Washington,F,"6' 9""",NA,SO,NA
