number,name,position,height,weight,class,hometown
2,Marcel Smith,G,"5' 6""",NA,SR,NA
3,Tyler Russell,G,"6' 0""",NA,SR,NA
4,Cody Stetler,C,"6' 9""",NA,SO,NA
5,Colter Lasher,F,"6' 7""",NA,SO,NA
10,Trey Patterson,G,"6' 4""",NA,FR,NA
11,Mike Turner,G,"6' 2""",NA,JR,NA
12,Terry Harris,F,"6' 6""",NA,FR,NA
13,Stephen O'Suji,G,"5' 10""",NA,FR,NA
15,Reveal Chukwujekwu,G,"6' 3""",NA,SO,NA
23,Alex Fountain,F,"6' 7""",NA,SO,NA
25,Will McQuitter,G,"6' 3""",NA,JR,NA
30,Jourdan Stickler,G,"6' 4""",NA,JR,NA
34,Caleb Crayton,G,"6' 3""",NA,JR,NA
35,Anthony Odunsi,G,"6' 4""",NA,JR,NA
44,Josh Ibarra,C,"6' 10""",NA,FR,NA
55,Ricmonds Vilde,C,"6' 11""",NA,SR,NA
