number,name,position,height,weight,class,hometown
0,Ben Bentil,F,"6' 8""",NA,FR,NA
3,Kris Dunn,G,"6' 3""",NA,SO,NA
5,Rodney Bullock,F,"6' 7""",NA,FR,NA
12,Casey Woodring,G,"6' 2""",NA,SO,NA
13,Paschal Chukwu,C,"7' 2""",NA,FR,NA
14,Tyree Chambers,G,"6' 2""",NA,FR,NA
21,Jalen Lindsey,G,"6' 7""",NA,FR,NA
22,Ted Bancroft,G,"6' 6""",NA,SR,NA
23,Ladontae Henton,F,"6' 6""",NA,SR,NA
24,Kyron Cartwright,G,"5' 11""",NA,FR,NA
25,Tyler Harris,F,"6' 9""",NA,JR,NA
32,Junior Lomomba,G,"6' 5""",NA,SO,NA
33,Carson Desrosiers,C,"7' 0""",NA,SR,NA
34,Tom Planek,F,"6' 6""",NA,FR,NA
