number,name,position,height,weight,class,hometown
1,Jevon Thomas,G,"6' 0""",NA,SO,NA
2,Marcus Foster,G,"6' 3""",NA,SO,NA
3,Jack Karapetyan,F,"6' 7""",NA,FR,NA
5,Tre Harris,G,"6' 5""",NA,FR,NA
10,Malek Harris,F,"6' 8""",NA,FR,NA
11,Nino Williams,F,"6' 5""",NA,SR,NA
12,Mason Schoen,G,"6' 3""",NA,FR,NA
14,Justin Edwards,G,"6' 4""",NA,JR,NA
21,Brandon Bolden,C,"6' 11""",NA,SO,NA
23,Nigel Johnson,G,"6' 1""",NA,SO,NA
25,Wesley Iwundu,F,"6' 7""",NA,SO,NA
33,Brian Rohleder,G,"6' 3""",NA,JR,NA
40,Shawn Meyer,G,"6' 3""",NA,SR,NA
41,Stephen Hurt,F,"6' 11""",NA,JR,NA
42,Thomas Gipson,F,"6' 7""",NA,SR,NA
50,D.J. Johnson,F,"6' 9""",NA,JR,NA
