number,name,position,height,weight,class,hometown
1,Rashad Smith,G,"6' 7""",NA,JR,NA
3,Shaquille Harrison,G,"6' 3""",NA,JR,NA
5,Rashad Ray,G,"5' 11""",NA,JR,NA
10,James Woodard,G,"6' 3""",NA,JR,NA
11,Micah Littlejohn,G,"6' 6""",NA,FR,NA
14,Tarekeyi Edogi,F,"6' 8""",NA,SO,NA
15,Marquel Curtis,G,"6' 3""",NA,JR,NA
22,Nick Wood,G,"6' 1""",NA,JR,NA
23,Stevie Repichowski,G,"6' 5""",NA,SO,NA
35,Keondre Dew,G,"6' 8""",NA,FR,NA
40,D'Andre Wright,F,"6' 9""",NA,JR,NA
44,Brandon Swannegan,F,"6' 8""",NA,JR,NA
55,Emmanuel Ezechinonso,C,"6' 11""",NA,JR,NA
NA,Devin Waddell,,NA,NA,,NA
NA,Cole Stockton,,NA,NA,,NA
