number,name,position,height,weight,class,hometown
1,Cameron Fowler,G,"6' 0""",NA,SO,NA
2,Emile Blackman,G,"6' 4""",NA,SO,NA
4,Ravon Harris,G,"6' 5""",NA,JR,NA
5,Dayjar Dickson,F,"6' 9""",NA,FR,NA
10,Wesley Myers,G,"6' 2""",NA,SO,NA
11,Ramone Snowden,F,"6' 5""",NA,SO,NA
12,Karonn Davis,G,"6' 2""",NA,FR,NA
13,Matt Scott,G,"6' 4""",NA,FR,NA
14,James Suber,F,"6' 6""",NA,FR,NA
15,Julian Richardson,G,"6' 3""",NA,FR,NA
21,Anders Skou Hansen,G,"6' 3""",NA,FR,NA
22,Dominique Reid,F,"6' 8""",NA,FR,NA
24,David Varoli,G,"6' 0""",NA,SO,NA
31,Thomas Fleming,G,"6' 4""",NA,JR,NA
