number,name,position,height,weight,class,hometown
1,Khufu Najee,G,"6' 4""",NA,SR,NA
2,Mason Archie,G,"6' 5""",NA,JR,NA
5,Leo Svete,,"6' 5""",NA,FR,NA
10,Jalen McCallum,G,"5' 9""",NA,SO,NA
11,Josh James,F,"6' 9""",NA,SO,NA
12,Justus Stanback,F,"6' 8""",NA,SO,NA
14,Elijah Ray,F,"6' 6""",NA,SO,NA
15,Davron Williams,F,"6' 7""",NA,SR,NA
22,Marcellus Barksdale,G,"6' 5""",NA,JR,NA
25,P.J. Boutte,G,"5' 9""",NA,JR,NA
31,John Hubler,G,"6' 5""",NA,FR,NA
32,D.J. McCall,G,"6' 5""",NA,FR,NA
45,Aaron Brennan,F,"6' 6""",NA,FR,NA
