number,name,position,height,weight,class,hometown
1,Kentrall Brooks,F,"6' 8""",NA,SO,NA
4,Nick Colletta,G,"6' 5""",NA,FR,NA
5,Khallid Hart,G,"6' 2""",NA,SO,NA
10,James Griffin,G,"6' 5""",NA,FR,NA
11,K.J. Lee,G,"6' 4""",NA,FR,NA
15,Obi Momah,F,"6' 7""",NA,FR,NA
21,Tourron Whitfield,G,"6' 1""",NA,SR,NA
24,Manny Thomas,F,"6' 5""",NA,SR,NA
25,Connor McClenaghan,C,"6' 9""",NA,FR,NA
32,T.J. Curry,G,"6' 1""",NA,SR,NA
35,Phillip Lawrence,F,"6' 7""",NA,JR,NA
40,Chavaughn Lewis,G,"6' 5""",NA,SR,NA
44,Eric Truog,C,"6' 10""",NA,JR,NA
