number,name,position,height,weight,class,hometown
1,Gary Payton II,G,"6' 3""",NA,JR,NA
4,Victor Robbins,G,"6' 7""",NA,JR,NA
5,Cheikh N'diaye,C,"7' 0""",NA,SO,NA
11,Malcolm Duvivier,G,"6' 2""",NA,SO,NA
13,Langston Morris-Walker,G,"6' 5""",NA,JR,NA
14,Daniel Gomis,F,"6' 10""",NA,JR,NA
15,Tanner Sanders,G,"6' 4""",NA,FR,NA
30,Olaf Schaftenaar,F,"6' 10""",NA,JR,NA
31,AJ Hedgecock,G,"6' 0""",NA,SO,NA
32,Jarmal Reid,F,"6' 7""",NA,JR,NA
40,Justin Stangel,C,"6' 10""",NA,JR,NA
51,Dylan Livesay,G,"6' 3""",NA,FR,NA
52,Matt Dahlen,F,"6' 6""",NA,FR,NA
