number,name,position,height,weight,class,hometown
0,D.J. Brown,G,"6' 2""",NA,SR,NA
1,Kavin Gilder-Tilbury,F,"6' 7""",NA,SO,NA
2,Jonathan Wiley,G,"6' 6""",NA,FR,NA
5,Ojai Black,G,"6' 1""",NA,SO,NA
10,Wesley Davis,G,"6' 3""",NA,SR,NA
15,Ethan Montalvo,G,"6' 0""",NA,JR,NA
21,Emani Gant,F,"6' 8""",NA,JR,NA
22,Victor Bermudez,G,"6' 4""",NA,SR,NA
23,Jamarcus Weatherspoon,G,"6' 4""",NA,JR,NA
24,Cameron Naylor,F,"6' 7""",NA,JR,NA
31,Austin Evans,C,"6' 11""",NA,FR,NA
32,Kendell Ramlal,F,"6' 7""",NA,SO,NA
33,Edward Seay,F,"6' 8""",NA,SO,NA
34,Brian Herring,G,"6' 3""",NA,FR,NA
