number,name,position,height,weight,class,hometown
0,Austin Admas,F,"6' 7""",NA,FR,NA
1,Dustin Adams,F,"6' 7""",NA,FR,NA
3,Shamir Davis,G,"6' 0""",NA,SR,NA
10,Patrick Robinson,F,"6' 6""",NA,JR,NA
11,Brandon Williams,F,"6' 8""",NA,FR,NA
12,Jalan West,G,"5' 10""",NA,FR,NA
13,Matt Killian,F,"6' 5""",NA,FR,NA
15,David Ulak,F,"6' 6""",NA,SR,NA
20,Dadrian Harris,G,"6' 2""",NA,FR,NA
22,Brison White,G,"6' 1""",NA,JR,NA
32,Dequan Hicks,F,"6' 7""",NA,JR,NA
33,James Hulbin,F,"6' 8""",NA,SR,NA
34,Gary Roberson,G,"6' 4""",NA,SR,NA
35,O.J. Evans,C,"6' 10""",NA,SR,NA
40,Marvin Fraizer,C,"6' 9""",NA,SO,NA
44,Gary Stewart,G,"6' 4""",NA,JR,NA
