number,name,position,height,weight,class,hometown
0,Justin Omogun,F,"6' 8""",NA,SO,NA
1,Tyrone White,G,"6' 7""",NA,SR,NA
2,Brandon Barnes,G,"6' 1""",NA,JR,NA
3,Javonte Maynor,G,"6' 0""",NA,SO,NA
4,Matthew Ratto,G,"5' 11""",NA,JR,NA
5,Zach Lamb,G,"6' 0""",NA,SR,NA
11,Mo Hughley,F,"6' 7""",NA,SR,NA
15,Kregg Jones,F,"6' 8""",NA,SO,NA
20,Britton Williams,F,"5' 11""",NA,FR,NA
21,Adam Young,F,"6' 8""",NA,SR,NA
22,Corey Hall,F,"6' 7""",NA,JR,NA
24,Erik Kinney,G,"6' 4""",NA,FR,NA
25,Dee Wallace,G,"5' 10""",NA,SO,NA
44,Stephon Carter,G,"6' 3""",NA,SR,NA
