number,name,position,height,weight,class,hometown
0,Zane Gibson,G,"6' 2""",NA,JR,NA
1,Neiko Hunter,F,"6' 7""",NA,JR,NA
3,James Gallman,G,"5' 11""",NA,SR,NA
4,Finoy Perkins,,NA,NA,N/A,NA
5,Trantell Knight,G,"6' 1""",NA,JR,NA
12,Shawn Jones,F,"6' 8""",NA,JR,NA
13,Bruce Massey,G,"6' 3""",NA,SR,NA
14,Marcos Knight,G,"6' 2""",NA,SR,NA
15,Raymond Cintron,G,"6' 0""",NA,SR,NA
21,Torin Walker,C,"6' 11""",NA,JR,NA
22,Jason Jones,G,"6' 6""",NA,SR,NA
24,Kerry Hammonds,G,"6' 5""",NA,JR,NA
30,JT Sulton,F,"6' 8""",NA,SR,NA
32,Gavin Gibson,G,"6' 4""",NA,FR,NA
42,Jacquez Rozier,F,"6' 7""",NA,SO,NA
