number,name,position,height,weight,class,hometown
3,Jalen Love,G,"6' 2""",NA,FR,NA
14,Blake Foeman,F,"6' 7""",NA,JR,NA
20,Royce O'Neale,F,"6' 5""",NA,SO,NA
21,Bryant Rucker,G,"6' 0""",NA,FR,NA
22,Charles Webb,G,"5' 5""",NA,JR,NA
23,Brett Olson,G,"6' 5""",NA,SO,NA
24,Dom Samac,F,"6' 9""",NA,FR,NA
25,Jake Logan,C,"6' 8""",NA,FR,NA
30,Cam Griffin,G,"6' 3""",NA,SO,NA
32,Chase Hallam,G,"6' 5""",NA,SR,NA
33,Nate Engesser,G,"6' 3""",NA,FR,NA
34,Chris Udofia,F,"6' 6""",NA,JR,NA
35,Marcus Byrd,F,"6' 7""",NA,FR,NA
