number,name,position,height,weight,class,hometown
3,Nerlens Noel,F,"6' 10""",NA,FR,NA
4,Jon Hood,G,"6' 7""",NA,JR,NA
5,Jarrod Polson,G,"6' 2""",NA,JR,NA
10,Archie Goodwin,G,"6' 4""",NA,FR,NA
11,Twany Beckham,G,"6' 5""",NA,SR,NA
12,Ryan Harrow,G,"6' 2""",NA,SO,NA
13,Sam Malone,G,"5' 11""",NA,SO,NA
15,Willie Cauley-Stein,F,"7' 0""",NA,FR,NA
21,Tod Lanter,,"6' 2""",NA,N/A,NA
22,Alex Poythress,F,"6' 7""",NA,FR,NA
32,Brian Long,G,"5' 9""",NA,SO,NA
33,Kyle Wiltjer,F,"6' 9""",NA,SO,NA
34,Julius Mays,G,"6' 2""",NA,SR,NA
