number,name,position,height,weight,class,hometown
1,Kyle Kager,F,"6' 8""",NA,SO,NA
2,Daniel Munoz,G,"6' 1""",NA,SR,NA
4,Austin Carroll,G,"6' 3""",NA,SO,NA
5,Marko Vasic,G,"6' 5""",NA,FR,NA
10,Warren Flood Jr.,G,"6' 2""",NA,SR,NA
12,Daniel Fisher,F,"6' 7""",NA,SR,NA
14,Jesse Reed,G,"6' 5""",NA,FR,NA
20,Blake Jolivette,G,"5' 11""",NA,SR,NA
22,John Schoof,G,"6' 5""",NA,SO,NA
32,Stephen Lumpkins,F,"6' 8""",NA,SR,NA
34,Tony Wroblicky,F,"6' 10""",NA,JR,NA
43,Mike Bersch,F,"6' 6""",NA,SR,NA
44,Zach Elcano,C,"6' 11""",NA,FR,NA
