number,name,position,height,weight,class,hometown
0,James Davis Jr.,G,"6' 1""",NA,FR,NA
1,Derrick Barden,F,"6' 5""",NA,JR,NA
2,Xzaivier James,G,"5' 9""",NA,JR,NA
3,Paul Garnica,G,"6' 0""",NA,JR,NA
5,Tevin Svihovec,G,"6' 2""",NA,SO,NA
10,Cody McDavis,F,"6' 8""",NA,FR,NA
15,Tate Unruh,G,"6' 2""",NA,JR,NA
21,Brendan Keane,C,"6' 9""",NA,SO,NA
22,Tim Huskisson,F,"6' 5""",NA,SO,NA
24,Emmanuel Addo,F,"6' 8""",NA,JR,NA
25,Bryce Douvier,F,"6' 6""",NA,SO,NA
30,Greg Tucker,G,"6' 2""",NA,FR,NA
32,Dylan Elias,G,"6' 1""",NA,FR,NA
34,Connor Osborne,C,"6' 9""",NA,JR,NA
