number,name,position,height,weight,class,hometown
0,Taaj Ridley,F,"6' 7""",NA,SR,NA
1,Desean Anderson,F,"6' 8""",NA,JR,NA
2,Lamont Jones,G,"6' 0""",NA,SR,NA
3,Tavon Sledge,G,"5' 9""",NA,SO,NA
4,Spencer Boateng,,NA,NA,N/A,NA
5,A.J. English,G,"6' 4""",NA,FR,NA
10,Dashawn Gomez,G,"6' 2""",NA,JR,NA
12,Shawn Jackson,F,"6' 9""",NA,JR,NA
13,David Laury,F,"6' 8""",NA,SO,NA
22,Sean Armand,G,"6' 4""",NA,JR,NA
23,Tre Bowman,G,"6' 5""",NA,JR,NA
32,Nyandigisi Moikobu,F,"6' 7""",NA,SR,NA
33,Curtis Dennis,G,"6' 5""",NA,SR,NA
