number,name,position,height,weight,class,hometown
0,Sam McLaurin,F,"6' 8""",NA,SR,NA
1,D.J. Richardson,G,"6' 3""",NA,SR,NA
2,Joseph Bertrand,G,"6' 6""",NA,JR,NA
3,Brandon Paul,G,"6' 4""",NA,SR,NA
10,Mike LaTulip,G,"6' 0""",NA,FR,NA
13,Tracy Abrams,G,"6' 1""",NA,SO,NA
15,Mike Shaw,F,"6' 8""",NA,SO,NA
20,Myke Henry,G,"6' 6""",NA,SO,NA
21,Devin Langford,G,"6' 7""",NA,FR,NA
23,Ibby Djimde,C,"6' 8""",NA,SO,NA
31,Kevin Berardini,G,"6' 0""",NA,JR,NA
32,Nnanna Egwu,C,"6' 10""",NA,SO,NA
42,Tyler Griffey,F,"6' 9""",NA,SR,NA
