number,name,position,height,weight,class,hometown
1,Robert Smith,G,"6' 1""",NA,SR,NA
2,Davin Guinn,F,"6' 5""",NA,FR,NA
3,Tajai Johnson,G,"6' 2""",NA,FR,NA
5,Taylor Johns,F,"6' 7""",NA,FR,NA
10,Steven Jones,G,"6' 0""",NA,FR,NA
11,Tre Owens,F,"6' 6""",NA,FR,NA
12,Josh Fox,F,"6' 6""",NA,FR,NA
15,Chris Harriel,F,"6' 4""",NA,JR,NA
21,Lucas Devenny,F,"6' 8""",NA,JR,NA
22,Dayton Boddie,G,"6' 3""",NA,FR,NA
24,TJ Burke,F,"6' 8""",NA,SO,NA
35,Austin Quick,G,"6' 2""",NA,SO,NA
54,Chris Patton,F,"6' 10""",NA,JR,NA
