number,name,position,height,weight,class,hometown
4,Carl Engstrom,C,"7' 1""",NA,JR,NA
5,Trevor Lacey,G,"6' 3""",NA,SO,NA
12,Trevor Releford,G,"6' 0""",NA,JR,NA
13,Julian Goode,F,"6' 7""",NA,JR,NA
14,Moussa Gueye,C,"7' 0""",NA,JR,NA
15,Nick Jacobs,F,"6' 8""",NA,SO,NA
20,Levi Randolph,G,"6' 5""",NA,SO,NA
21,Rodney Cooper,G,"6' 6""",NA,SO,NA
22,Andrew Steele,G,"6' 4""",NA,SR,NA
24,Devonta Pollard,F,"6' 8""",NA,FR,NA
25,Keon Blackledge,G,"6' 3""",NA,JR,NA
32,Retin Obasohan,G,"6' 1""",NA,FR,NA
33,Isaiah Wilson,,"6' 3""",NA,JR,NA
35,Dakota Slaughter,F,"6' 6""",NA,SO,NA
