number,name,position,height,weight,class,hometown
0,Kylia Sykes,G/F,"6' 5""",195 lbs,FR,"Washington, DC"
1,Marvin Smith,F,"6' 6""",205 lbs,JR,"Richmond, VA"
2,Malik Massey,G,"6' 3""",195 lbs,FR,"Charlotte, NC"
2,Asad Lamot,G,"6' 1""",185 lbs,SR,"Mebane, NC"
3,Jelani Mofford,F,"6' 5""",187 lbs,SO,"Mississauga, ON"
4,Taqqi Muhammad,G,"6' 4""",200 lbs,FR,"Richmond, VA"
10,Francis Alonso,G,"6' 3""",185 lbs,SO,"Malaga, Spain"
11,Demetrius Troy,G,"6' 0""",187 lbs,SO,"Raleigh, NC"
13,Justin Jordan,G,"6' 3""",185 lbs,JR,"Davidson, NC"
14,Kyrin Galloway,F,"6' 8""",215 lbs,FR,"Milton, GA"
14,Michael Adams,G,"6' 2""",202 lbs,SR,"Raleigh, NC"
15,Garrett Collins,F,"6' 5""",200 lbs,JR,"Asheville, NC"
20,Diante Baldwin,G,"6' 0""",191 lbs,SR,"Greensboro, NC"
21,James Dickey,F,"6' 9""",200 lbs,FR,"Raleigh, NC"
22,Jack Konstanzer,G,"5' 11""",165 lbs,FR,"Kill Devil Hills, NC"
25,Lloyd Burgess,C,"6' 11""",270 lbs,SO,"Durham, NC"
30,Clay Byrd,G,"6' 0""",176 lbs,SR,"Connelly Springs, NC"
32,Jordy Kuiper,F,"6' 9""",250 lbs,JR,"Groningen, Netherlands"
33,R.J. White,C,"6' 8""",255 lbs,SR,"Frisco, TX"
