number,name,position,height,weight,class,hometown
0,Legend Robertin,C,"7' 0""",260 lbs,JR,"London, England"
1,Ty Hudson,G,"6' 1""",200 lbs,SO,"Mableton, GA"
2,Marcquise Reed,G,"6' 3""",185 lbs,SO,"Landover, MD"
3,Lyles Davis,G,"5' 11""",160 lbs,SO,"Charleston, SC"
4,Shelton Mitchell,G,"6' 3""",195 lbs,SO,"Waxhaw, NC"
5,Jaron Blossomgame,F,"6' 7""",220 lbs,SR,"Alpharetta, GA"
10,Gabe DeVoe,G,"6' 4""",210 lbs,JR,"Shelby, NC"
11,Isaac Fields,G,"6' 1""",180 lbs,FR,"Pewee Valley, KY"
12,Avry Holmes,G,"6' 2""",195 lbs,SR,"Salem, OR"
14,Elijah Thomas,F,"6' 9""",230 lbs,SO,"Lancaster, TX"
15,Donte Grantham,F,"6' 8""",215 lbs,JR,"Martinsburg, WV"
22,Scott Spencer,G,"6' 6""",195 lbs,FR,"Suffolk, VA"
24,David Skara,F,"6' 8""",210 lbs,JR,"Zadar, Croatia"
44,Riley McGillan,G,"6' 0""",175 lbs,SR,"Fort Mill, SC"
50,Sidy Djitte,C,"6' 10""",240 lbs,SR,"Dakar, Senegal"
