number,name,position,height,weight,class,hometown
0,Tai Webster,G,"6' 4""",195 lbs,SR,"Auckland, New Zealand"
1,Anton Gill,G,"6' 3""",195 lbs,JR,"Raleigh, NC"
2,Jeriah Horne,F,"6' 7""",222 lbs,FR,"Overland Park, KS"
3,Jason Shultis,G,"6' 1""",198 lbs,SO,"Dannebrog, NE"
5,Glynn Watson Jr.,G,"6' 0""",175 lbs,SO,"Bellwood, IL"
10,Jack McVeigh,G/F,"6' 8""",215 lbs,SO,"Cabarita Beach, Australia"
11,Evan Taylor,G,"6' 5""",206 lbs,JR,"Cincinnati, OH"
11,Isaac Copeland,F,"6' 9""",220 lbs,JR,"Raleigh, NC"
12,James Palmer Jr.,G,"6' 6""",202 lbs,JR,"Upper Marlboro, MD"
12,Michael Jacobson,F,"6' 9""",230 lbs,SO,"Waukee, IA"
13,Malcolm Laws,G,"6' 1""",190 lbs,JR,"Orlando, FL"
15,Isaiah Roby,F,"6' 8""",214 lbs,FR,"Dixon, IL"
21,Mohammad Elradi,G,"6' 3""",180 lbs,FR,"Omaha, NE"
23,Nick Fuller,F,"6' 7""",213 lbs,JR,"Sun Prairie, WI"
30,Ed Morrow,F,"6' 7""",234 lbs,SO,"Chicago, IL"
32,Jordy Tshimanga,C,"6' 11""",275 lbs,FR,"Montreal, PQ"
41,Tanner Borchardt,F,"6' 8""",274 lbs,SO,"Gothenburg, NE"
