number,name,position,height,weight,class,hometown
0,Dewayne Russell,G,"5' 11""",155 lbs,SR,"Peoria, AZ"
1,Fiifi Aidoo,G,"6' 2""",200 lbs,FR,"Helsinki, Finland"
2,Joshua Braun,G,"6' 4""",195 lbs,JR,"Anthem, AZ"
3,Juwan Washington,G,"6' 1""",170 lbs,JR,"Las Vegas, NV"
4,Oscar Frayer,G,"6' 7""",190 lbs,FR,"Hayward, CA"
5,Matt Jackson,F,"6' 8""",210 lbs,JR,"Diamond Valley, Australia"
10,Shaq Carr,G,"6' 2""",170 lbs,JR,"Las Vegas, NV"
12,Boubacar Toure,C,"6' 11""",215 lbs,FR,"Dakar, Senegal"
13,Ibrahima Sankare,G,"6' 7""",200 lbs,FR,"Thies, Senegal"
15,Cheick Sy-Savane,G,"6' 3""",170 lbs,JR,"Centereach, NY"
21,Kerwin Smith,F,"6' 9""",200 lbs,SO,"Dallas, TX"
22,Adrian Carrion,G,"5' 11""",170 lbs,JR,"Seville, Spain"
23,Darion Clark,F,"6' 7""",220 lbs,SR,"Conyers, GA"
24,Keonta Vernon,F,"6' 6""",225 lbs,JR,"Tulare, CA"
35,Kenzo Nudo,G,"6' 4""",200 lbs,FR,"Scottsdale, AZ"
40,Nehemiah Allen,G/F,"6' 5""",175 lbs,FR,"Lake Oswego, OR"
42,Gerard Martin,G,"6' 6""",195 lbs,SO,"Manly, Australia"
51,Chris Miller,G,"6' 2""",195 lbs,JR,"Peoria, AZ"
