number,name,position,height,weight,class,hometown
0,Malik Ellison,G,"6' 6""",215 lbs,SO,"Voorhees, NJ"
1,Bashir Ahmed,G/F,"6' 7""",210 lbs,JR,"Bronx, NY"
2,Shamorie Ponds,G,"6' 1""",170 lbs,FR,"Brooklyn, NY"
3,Amar Alibegovic,F,"6' 9""",240 lbs,JR,"Rome, Italy"
4,Federico Mussini,G,"6' 2""",170 lbs,SO,"Reggio Emilia, Italy"
5,Justin Simon,G,"6' 5""",205 lbs,SO,"Temecula, CA"
10,Marvin Clark Jr.,F,"6' 7""",225 lbs,JR,"Kansas City, MO"
11,Tariq Owens,F,"6' 11""",200 lbs,SO,"Odenton, MD"
12,Elijah Holifield,G,"6' 3""",185 lbs,SO,"Atlanta, GA"
14,Kassoum Yakwe,F,"6' 7""",210 lbs,SO,"Bamako, Mali"
15,Marcus LoVett,G,"6' 0""",175 lbs,FR,"Fort Wayne, IN"
20,Richard Freudenberg,F,"6' 9""",210 lbs,FR,"Munich, Germany"
24,Brandon Lawrence,G,"6' 2""",175 lbs,FR,"Union City, CA"
25,Justin Cole,G,NA,NA,FR,NA
35,Yankuba Sima,C,"6' 11""",220 lbs,SO,"Girona, Spain"
45,Darien Williams,F,"6' 8""",235 lbs,SR,"San Francisco, CA"
