number,name,position,height,weight,class,hometown
0,Markus Howard,G,"5' 11""",175 lbs,FR,"Chandler, AZ"
1,Duane Wilson,G,"6' 2""",185 lbs,JR,"Milwaukee, WI"
2,Sacar Anim,G/F,"6' 5""",205 lbs,SO,"Minneapolis, MN"
5,"Sandy Cohen, III",F,"6' 6""",200 lbs,JR,"Seymour, WI"
10,Sam Hauser,G/F,"6' 6""",225 lbs,FR,"Stevens Point, WI"
12,Matt Heldt,C,"6' 10""",245 lbs,SO,"Neenah, WI"
21,Traci Carter,G,"6' 0""",175 lbs,SO,"Philadelphia, PA"
22,Katin Reinhardt,G,"6' 6""",210 lbs,SR,"Dana Point, CA"
23,JaJuan Johnson,G,"6' 5""",205 lbs,SR,"Memphis, TN"
25,Haanif Cheatham,G,"6' 5""",195 lbs,SO,"Fort Lauderdale, FL"
30,Andrew Rowsey,G,"5' 10""",180 lbs,JR,"Lexington, VA"
40,Luke Fischer,C,"6' 11""",250 lbs,SR,"Germantown, WI"
41,Deon Franklin,F,"6' 5""",215 lbs,JR,"Treviso, Italy"
52,Cam Marotta,G,"5' 10""",165 lbs,SO,"Mequon, WI"
