date,game_id,home,away
2014-11-14,400585667,Iowa State,Oakland
2014-11-14,400585668,Kansas,UC Santa Barbara
2014-11-14,400585669,Oklahoma State,SE Louisiana
2014-11-14,400585670,Kansas State,Southern Utah
2014-11-14,400585671,Baylor,McNeese
2014-11-14,400585672,Texas Tech,Loyola (MD)
2014-11-14,400585673,TCU,Prairie View A&M
2014-11-14,400585674,Texas,North Dakota State
2014-11-14,400585675,West Virginia,Monmouth
2014-11-14,400585870,Utah State,Weber State
2014-11-14,400585873,Gonzaga,Sacramento State
2014-11-14,400585874,Xavier,Northern Arizona
2014-11-14,400585875,Eastern Washington,Texas Southern
2014-11-14,400585877,New Mexico,Idaho State
2014-11-14,400586107,Bucknell,Marist
2014-11-14,400586108,Iona,Cleveland State
2014-11-14,400586109,Pittsburgh,Niagara
2014-11-14,400586110,Fairfield,Central Connecticut
2014-11-14,400586111,Quinnipiac,Yale
2014-11-14,400586112,Princeton,Rider
2014-11-14,400586114,Brown,Saint Peter's
2014-11-14,400586292,Bradley,UT Arlington
2014-11-14,400586293,Loyola Chicago,Rockhurst
2014-11-14,400586294,Missouri State,Eastern Illinois
2014-11-14,400586295,Wichita State,New Mexico State
2014-11-14,400586296,IUPUI,Indiana State
2014-11-14,400586482,South Florida,Flagler
2014-11-14,400586483,Murray State,Houston
2014-11-14,400586484,SMU,Lamar
2014-11-14,400586485,UConn,Bryant
2014-11-14,400586486,Cincinnati,St. Francis (PA)
2014-11-14,400586667,Temple,American
2014-11-14,400586863,Buffalo,South Dakota State
2014-11-14,400586864,Purdue Fort Wayne,Manchester
2014-11-14,400586865,Utah Valley,South Dakota
2014-11-14,400587025,Villanova,Lehigh
2014-11-14,400587026,Navy,Michigan State
2014-11-14,400587027,Army,Air Force
2014-11-14,400587028,Robert Morris,Lafayette
2014-11-14,400587210,San Diego,Boise State
2014-11-14,400587211,Loyola Marymount,SE Missouri St
2014-11-14,400587212,Portland,Concordia Oregon
2014-11-14,400587213,Pepperdine,Fresno State
2014-11-14,400587214,BYU,Long Beach State
2014-11-14,400587365,Eastern Michigan,St. Francis (ILL)
2014-11-14,400587366,Akron,UMBC
2014-11-14,400587388,Utah,Ball State
2014-11-14,400587748,Louisville,Minnesota
2014-11-14,400587749,Virginia Tech,Maryland-Eastern Shore
2014-11-14,400587751,Clemson,Florida A&M
2014-11-14,400587752,Georgia Tech,Georgia
2014-11-14,400587753,James Madison,Virginia
2014-11-14,400587754,Wake Forest,UNC Asheville
2014-11-14,400587755,North Carolina,North Carolina Central
2014-11-14,400587756,Miami,Howard
2014-11-14,400587757,NC State,Jackson State
2014-11-14,400587758,Notre Dame,Binghamton
2014-11-14,400588321,Marquette,UT Martin
2014-11-14,400588322,DePaul,UIC
2014-11-14,400588485,St. John's,NJIT
2014-11-14,400588629,Hofstra,Jacksonville
2014-11-14,400588630,Lipscomb,Berry
2014-11-14,400588631,South Carolina,North Florida
2014-11-14,400588632,Stetson,Edward Waters
2014-11-14,400588633,Wisconsin,Northern Kentucky
2014-11-14,400588634,Syracuse,Kennesaw State
2014-11-14,400589067,Chattanooga,Hiwassee College
2014-11-14,400589068,Mercer,Piedmont
2014-11-14,400589069,UNC Greensboro,Chowan
2014-11-14,400589070,VMI,The Citadel
2014-11-14,400589072,Purdue,Samford
2014-11-14,400589073,Mississippi State,Western Carolina
2014-11-14,400589239,Ole Miss,Charleston Southern
2014-11-14,400589240,Richmond,Radford
2014-11-14,400589241,Longwood,Averett
2014-11-14,400589242,Campbell,Barber-Scotia
2014-11-14,400589243,Coastal Carolina,Trinity Baptist
2014-11-14,400589244,Liberty,Randolph College
2014-11-14,400589245,High Point,CSU Bakersfield
2014-11-14,400589701,Arizona State,Chicago State
2014-11-14,400589702,Kentucky,Grand Canyon
2014-11-14,400589703,Missouri,UMKC
2014-11-14,400589704,Seattle,Texas State
2014-11-14,400589705,UT Rio Grande Valley,Wayland Baptist University
2014-11-14,400591007,Southern,Louisiana Tech
2014-11-14,400591060,California,Alcorn State
2014-11-14,400591080,George Washington,Grambling
2014-11-14,400591083,George Mason,Cornell
2014-11-14,400591084,Rhode Island,Pace
2014-11-14,400591085,Saint Joseph's,Fairleigh Dickinson
2014-11-14,400591086,Fordham,New York Institute of Technology
2014-11-14,400591238,Stony Brook,Columbia
2014-11-14,400591290,Harvard,MIT
2014-11-14,400591332,Elon,Florida Atlantic
2014-11-14,400591334,Marshall,Jacksonville State
2014-11-14,400591335,Middle Tennessee,Ohio Valley
2014-11-14,400591336,North Texas,Ark Monticello
2014-11-14,400591337,Oregon State,Rice
2014-11-14,400591338,Southern Miss,William Carey
2014-11-14,400591339,UTEP,Washington State
2014-11-14,400591340,UTSA,Huston-Tillotson
2014-11-14,400591550,San José St,Bethesda
2014-11-14,400591790,Arizona,Mt. St. Mary's
2014-11-14,400593188,Washington,South Carolina State
2014-11-14,400594864,Illinois,Georgia Southern
2014-11-14,400594865,Georgia State,Tenn Temple
2014-11-14,400594866,South Alabama,Carroll College Montana
2014-11-14,400595187,Troy,Brewton-Parker
2014-11-14,400595188,Louisiana,Louisiana College
2014-11-14,400595356,Indiana,Mississippi Valley State
2014-11-14,400595357,Ohio State,UMass Lowell
2014-11-14,400595358,Penn State,Morgan State
2014-11-14,400595359,Maryland,Wagner
2014-11-14,400595360,Northwestern,Houston Baptist
2014-11-14,400595361,Iowa,Hampton
2014-11-14,400595560,Sam Houston State,Austin
2014-11-14,400595561,Texas A&M,Northwestern State
2014-11-14,400595562,Abilene Christian,Randall University
2014-11-14,400595563,Stephen F. Austin,Mississippi College
2014-11-14,400595564,Texas A&M-CC,Our Lady of the Lake
2014-11-14,400595565,Incarnate Word,Texas-Tyler
2014-11-14,400595897,Santa Clara,CSU Fullerton
2014-11-14,400595898,UC Irvine,Chapman
2014-11-14,400596016,Sacred Heart,Hartford
2014-11-14,400596307,Wright State,Belmont
2014-11-14,400596308,Eastern Kentucky,Savannah St
2014-11-14,400596309,SIU-Edwardsville,Harris Stowe
2014-11-14,400596310,Tennessee State,Reinhardt
2014-11-14,400597288,Alabama,Towson
2014-11-14,400597289,Auburn,Milwaukee
2014-11-14,400597749,Detroit Mercy,Rochester College
2014-11-14,400597833,Furman,Charleston
2014-11-14,400598788,Alabama State,AUB Montgomery
2014-11-14,400599888,Saint Mary's,Cal State-Los Angeles
2014-11-15,400585871,UCLA,Montana State
2014-11-15,400585878,Northern Iowa,North Dakota
2014-11-15,400585879,USC,Portland State
2014-11-15,400585880,Colorado State,Montana
2014-11-15,400586115,Florida State,Manhattan
2014-11-15,400586116,Canisius,Vermont
2014-11-15,400586117,Duke,Fairfield
2014-11-15,400586297,Evansville,Earlham
2014-11-15,400586298,Saint Louis,Southern Illinois
2014-11-15,400586299,Drake,Bowling Green
2014-11-15,400586668,Oral Roberts,Tulsa
2014-11-15,400587029,La Salle,Colgate
2014-11-15,400587215,San Diego,SE Missouri St
2014-11-15,400587216,Loyola Marymount,Boise State
2014-11-15,400587389,Ohio,Appalachian State
2014-11-15,400587390,Northern Illinois,Aurora
2014-11-15,400587391,Youngstown St,Kent State
2014-11-15,400588324,Butler,Maine
2014-11-15,400588325,Providence,Albany
2014-11-15,400588635,South Carolina Upstate,Florida A&M
2014-11-15,400588636,Florida Gulf Coast,Nova Southeast
2014-11-15,400589074,Stanford,Wofford
2014-11-15,400589246,LSU,Gardner-Webb
2014-11-15,400589247,Winthrop,Pfeiffer
2014-11-15,400589248,Arkansas-Pine Bluff,High Point
2014-11-15,400591087,Davidson,Catholic University
2014-11-15,400591088,Duquesne,Bluefield State
2014-11-15,400591089,St. Bonaventure,Dartmouth
2014-11-15,400591303,Pennsylvania,Delaware State
2014-11-15,400591341,Old Dominion,UNC Wilmington
2014-11-15,400591342,UAB,UL Monroe
2014-11-15,400591343,Western Kentucky,Austin Peay
2014-11-15,400591553,Nevada,Cal Poly
2014-11-15,400595362,Michigan,Hillsdale
2014-11-15,400595900,UC Riverside,UC San Diego
2014-11-15,400597767,Green Bay,Illinois-Springfield
2014-11-15,400598549,Oregon,Coppin State
2014-11-15,400598550,Bethune-Cookman,Trinity (FL)
2014-11-15,400599889,Santa Clara,San Diego Christian
2014-11-15,400601593,Hawai'i,Arkansas-Pine Bluff
2014-11-15,400607369,Army,VMI
2014-11-16,400585676,Oklahoma,SE Louisiana
2014-11-16,400585678,Texas,Alcorn State
2014-11-16,400585679,West Virginia,Lafayette
2014-11-16,400585881,Toledo,Northern Arizona
2014-11-16,400585882,Miami (OH),Southern Utah
2014-11-16,400585883,Wyoming,Northern Colorado
2014-11-16,400585884,Denver,Idaho State
2014-11-16,400586118,Hartford,Saint Peter's
2014-11-16,400586300,Illinois State,Utah State
2014-11-16,400586669,South Florida,Jackson State
2014-11-16,400586670,East Carolina,UNC Asheville
2014-11-16,400586671,UCF,Stetson
2014-11-16,400586868,Purdue,IUPUI
2014-11-16,400586869,Stanford,South Dakota
2014-11-16,400587030,Notre Dame,Navy
2014-11-16,400587031,Northeastern,Boston University
2014-11-16,400587032,Loyola (MD),Cornell
2014-11-16,400587217,San José St,Portland
2014-11-16,400587218,UC Irvine,Pacific
2014-11-16,400587219,San Francisco,South Carolina State
2014-11-16,400587392,Kentucky,Buffalo
2014-11-16,400587759,Boston College,UMass
2014-11-16,400587760,North Carolina,Robert Morris
2014-11-16,400587761,Virginia,Norfolk State
2014-11-16,400587762,Pittsburgh,Samford
2014-11-16,400588326,Seton Hall,Mercer
2014-11-16,400588327,Creighton,Chicago State
2014-11-16,400588638,Nebraska,Northern Kentucky
2014-11-16,400588639,California,Kennesaw State
2014-11-16,400589076,Wisconsin,Chattanooga
2014-11-16,400589249,UCLA,Coastal Carolina
2014-11-16,400591090,Rutgers,George Washington
2014-11-16,400591091,George Mason,Princeton
2014-11-16,400591092,Rhode Island,UMass Lowell
2014-11-16,400591093,Penn State,Fordham
2014-11-16,400591344,Elon,Charlotte
2014-11-16,400591345,Marshall,Savannah St
2014-11-16,400591554,UNLV,Sam Houston State
2014-11-16,400591555,New Mexico,CSU Fullerton
2014-11-16,400593190,Arizona,CSU Northridge
2014-11-16,400595189,Little Rock,Ark Monticello
2014-11-16,400595364,Illinois,Coppin State
2014-11-16,400595566,Lamar,LSU Alexandria
2014-11-16,400595901,Hawai'i,CSU Bakersfield
2014-11-16,400595902,UC Davis,Holy Names
2014-11-16,400596311,Austin Peay,Berea
2014-11-16,400597290,Vanderbilt,Trevecca Nazarene
2014-11-16,400597291,Missouri,Valparaiso
2014-11-16,400597292,Arkansas,Alabama State
2014-11-16,400597825,Wright State,Ohio Dominican
2014-11-16,400597829,Youngstown St,Oberlin College
2014-11-16,400598551,Syracuse,Hampton
2014-11-17,400585680,Kansas State,UMKC
2014-11-17,400585681,Iowa State,Georgia State
2014-11-17,400585682,TCU,Washington State
2014-11-17,400585885,Weber State,Presentation College
2014-11-17,400585886,Grand Canyon,Montana State
2014-11-17,400585887,Idaho,South Dakota State
2014-11-17,400585888,UC Riverside,Sacramento State
2014-11-17,400585889,Eastern Washington,Utah Valley
2014-11-17,400586119,Siena,Vermont
2014-11-17,400586301,Loyola Chicago,McKendree
2014-11-17,400586672,Gonzaga,SMU
2014-11-17,400586674,Temple,Louisiana Tech
