number,name,position,height,weight,class,hometown
NA,Josh Barnes,G,"6' 2""",NA,SO,NA
NA,Sai'Quon Stone,G,"6' 6""",NA,JR,NA
NA,Bryson Brewer,G,"6' 3""",NA,JR,NA
NA,Courtney Beasley,G,"6' 3""",NA,SR,NA
NA,Craig Craft,G,"6' 3""",NA,SR,NA
NA,Gustavo Lino,C,"7' 1""",NA,SO,NA
NA,Brandon Cooks,F,"6' 8""",NA,FR,NA
NA,Vitor Benite,,NA,NA,FR,NA
NA,Gjio Bain,C,"7' 0""",NA,SR,NA
NA,Demar Dotson,C,"6' 9""",NA,SR,NA
NA,Andre Stephens,F,"6' 8""",NA,JR,NA
NA,Jeremy Wise,G,"6' 2""",NA,JR,NA
NA,Kevin Branch,G,"6' 5""",NA,FR,NA
NA,R.L. Horton,G,"6' 0""",NA,SO,NA
NA,Wayne Turner,G,"6' 0""",NA,FR,NA
NA,Hank Wierson,G,"5' 11""",NA,JR,NA
NA,Cory Smith,F,"6' 7""",NA,FR,NA
NA,Rodney McCauley,G,"6' 5""",NA,FR,NA
NA,Jerome Clyburn,G,"6' 0""",NA,FR,NA
