number,name,position,height,weight,class,hometown
NA,Isaiah Rhine,C,"6' 10""",NA,FR,NA
NA,Spencer Laurie,G,"6' 1""",NA,SR,NA
NA,Will Creekmore,F,"6' 9""",NA,SO,NA
NA,Cardell McFarland,G,"6' 2""",NA,FR,NA
NA,Kyle Weems,F,"6' 6""",NA,FR,NA
NA,Dale Lamberth,F,"6' 5""",NA,SR,NA
NA,Deven Mitchell,F,"6' 5""",NA,SR,NA
NA,John Hayward-Mayhew,F,"6' 8""",NA,FR,NA
NA,Derron Hobbs,G,"6' 0""",NA,FR,NA
NA,Dex Manswell,F,"6' 7""",NA,SR,NA
NA,Ryan Jehle,F,"6' 6""",NA,SO,NA
NA,Shane Laurie,G,"6' 2""",NA,SR,NA
NA,Justin Fuehrmeyer,G,"6' 0""",NA,JR,NA
NA,Lamont Austin,G,"5' 11""",NA,FR,NA
NA,Tomas Brock,G,"6' 1""",NA,FR,NA
NA,Wade Knapp,F,"6' 8""",NA,SR,NA
NA,Chris Cooks,F,"6' 4""",NA,SR,NA
NA,Drew Richards,C,"6' 9""",NA,SR,NA
