number,name,position,height,weight,class,hometown
NA,Todd Hendley,F,"6' 9""",NA,SR,NA
NA,Johnny Wolf,G,"6' 2""",NA,JR,NA
NA,Brad Bald,F,"6' 8""",NA,FR,NA
NA,Kevon Moore,G,"6' 3""",NA,FR,NA
NA,Jerel Stephenson,G,"6' 5""",NA,FR,NA
NA,T.J. Carter,G,"6' 3""",NA,SR,NA
NA,Josh Sheets,G,"6' 4""",NA,JR,NA
NA,Dominique Lacy,-,"6' 7""",NA,SO,NA
NA,Darryl Felder,G,"6' 2""",NA,JR,NA
NA,Daniel Fountain,G,"6' 4""",NA,SR,NA
NA,Vladimir Kuljanin,C,"6' 10""",NA,SR,NA
NA,Daniel Mercer,F,"6' 6""",NA,JR,NA
NA,Jason Aycock,C,NA,NA,,NA
NA,Darion Jeralds,G,"6' 1""",NA,JR,NA
NA,Jayson Aycock,C,"6' 10""",NA,SO,NA
NA,Dominique Lacy,-,"6' 7""",NA,SO,NA
NA,Rob Sikes,F,"6' 9""",NA,FR,NA
NA,Marlo Davis,G,"6' 0""",NA,SR,NA
NA,Chad Tomko,G,"5' 11""",NA,SO,NA
NA,Montez Downey,G,"6' 5""",NA,JR,NA
