number,name,position,height,weight,class,hometown
NA,Tre'Von Willis,G,"6' 4""",NA,SO,NA
NA,Curtis Terry,G,"6' 5""",NA,SR,NA
NA,Oscar Bellfield,G,"6' 2""",NA,FR,NA
NA,DeShawn Mitchell,F,"6' 5""",NA,FR,NA
NA,Brice Massamba,F,"6' 10""",NA,FR,NA
NA,Corey Bailey,F,"6' 5""",NA,SR,NA
NA,Mareceo Rutledge,G,"6' 3""",NA,SR,NA
NA,Marcus Lawrence,G,"5' 11""",NA,SO,NA
NA,Matt Shaw,F,"6' 8""",NA,SO,NA
NA,Troy Cage,F,"6' 5""",NA,FR,NA
NA,Scott Hoffman,G,"6' 3""",NA,JR,NA
NA,Rob Ketchum,F,"6' 5""",NA,SR,NA
NA,Beas Hamga,C,"6' 11""",NA,FR,NA
NA,Kendall Wallace,G,"6' 4""",NA,SO,NA
NA,Rene Rougeau,G,"6' 6""",NA,SR,NA
NA,Joe Darger,F,"6' 7""",NA,SR,NA
NA,Wink Adams,G,"6' 0""",NA,SR,NA
NA,Darris Santee,F,"6' 8""",NA,JR,NA
