number,name,position,height,weight,class,hometown
NA,Anthony Thomas,,"6' 0""",NA,JR,NA
NA,Chris Birrell,,"6' 2""",NA,JR,NA
NA,Michael Chroney,,"6' 2""",NA,SO,NA
NA,Adam Parzych,,"6' 3""",NA,JR,NA
NA,Barry Latham,,"6' 4""",NA,SO,NA
NA,Nick Pontes,,"6' 6""",NA,JR,NA
NA,Ray Witkos,,NA,NA,,NA
NA,Jerrann Wright,,NA,NA,,NA
NA,Peter Lambert,,NA,NA,,NA
NA,Chris Birrell,,"6' 2""",NA,JR,NA
NA,Don Trifari,,NA,NA,,NA
NA,Andrew Lyell,,NA,NA,,NA
NA,Barry Latham,,"6' 4""",NA,SO,NA
NA,Adam Parzych,,"6' 3""",NA,JR,NA
NA,Anthony Thomas,,"6' 0""",NA,JR,NA
NA,Michael Chroney,,"6' 2""",NA,SO,NA
NA,Sam Leclerc,,"6' 1""",NA,FR,NA
NA,Sam Leclerc,,"6' 1""",NA,FR,NA
NA,Ryan McLean,,NA,NA,,NA
NA,Cecil Gresham,,"6' 5""",NA,JR,NA
NA,Nick Pontes,,"6' 6""",NA,JR,NA
NA,Cecil Gresham,,"6' 5""",NA,JR,NA
